Date,Open,High,Low,Close,Adj Close,Volume
2010-02-11,4.882500,5.218750,4.866875,5.190625,5.188364,288000
2010-02-12,5.049375,5.256875,5.020000,5.211875,5.209604,716800
2010-02-16,5.334375,5.426250,5.250625,5.413750,5.411391,801600
2010-02-17,5.486250,5.506875,5.403750,5.505625,5.503226,1598400
2010-02-18,5.500000,5.643125,5.466875,5.610000,5.607556,3238400
2010-02-19,5.571875,5.683125,5.529375,5.610000,5.607556,3873600
2010-02-22,5.676250,5.676250,5.507500,5.570625,5.568197,2124800
2010-02-23,5.540000,5.570000,5.279375,5.353125,5.350792,3427200
2010-02-24,5.447500,5.578125,5.418125,5.515000,5.512597,2942400
2010-02-25,5.338750,5.549375,5.231875,5.511875,5.509474,3801600
2010-02-26,5.495625,5.603750,5.441250,5.580625,5.578194,2400000
2010-03-01,5.651250,5.843750,5.651250,5.820000,5.817464,1185600
2010-03-02,5.871250,5.981250,5.839375,5.855000,5.852449,2017600
2010-03-03,5.920625,5.971875,5.830625,5.887500,5.884935,1998400
2010-03-04,5.908125,5.960625,5.816250,5.952500,5.949906,1227200
2010-03-05,6.079375,6.243125,6.046875,6.215625,6.212916,1120000
2010-03-08,6.221250,6.293750,6.221250,6.248750,6.246027,1056000
2010-03-09,6.214375,6.456875,6.209375,6.359375,6.356604,1934400
2010-03-10,6.368125,6.553750,6.363750,6.515000,6.512161,1670400
2010-03-11,6.475625,6.584375,6.432500,6.575000,6.572135,2246400
2010-03-12,6.647500,6.647500,6.514375,6.590000,6.587129,1505600
2010-03-15,6.546250,6.590625,6.406250,6.545625,6.542773,1766400
2010-03-16,6.610000,6.688125,6.541250,6.669375,6.666469,1940800
2010-03-17,6.688125,6.810625,6.660000,6.715625,6.712699,1659200
2010-03-18,6.738750,6.805000,6.694375,6.783750,6.780794,2174400
2010-03-19,6.663750,6.858125,6.592500,6.663750,6.660846,1668800
2010-03-22,6.585625,6.923750,6.560625,6.843750,6.840768,2449600
2010-03-23,6.890625,7.001875,6.783750,6.986875,6.983831,2305600
2010-03-24,6.937500,6.952500,6.843750,6.887500,6.884499,3718400
2010-03-25,7.055625,7.129375,6.838750,6.844375,6.841393,3913600
2010-03-26,6.941875,7.011875,6.771875,6.880000,6.877003,3512000
2010-03-29,6.983750,7.045625,6.923125,6.974375,6.971336,1585600
2010-03-30,7.031875,7.108125,6.904375,7.047500,7.044429,1662400
2010-03-31,6.968750,7.062500,6.904375,6.952500,6.949471,2481600
2010-04-01,7.030000,7.164375,6.783125,6.938750,6.935727,4859200
2010-04-05,6.989375,7.181250,6.937500,7.139375,7.136265,2816000
2010-04-06,7.085000,7.258750,7.040000,7.193750,7.190615,2446400
2010-04-07,7.169375,7.247500,7.028125,7.153125,7.150008,4427200
2010-04-08,7.080625,7.220625,6.972500,7.178750,7.175622,2902400
2010-04-09,7.202500,7.325625,7.146875,7.308125,7.304941,2420800
2010-04-12,7.333125,7.393750,7.285000,7.337500,7.334303,2033600
2010-04-13,7.313750,7.460000,7.247500,7.448125,7.444880,2801600
2010-04-14,7.554375,7.716875,7.538750,7.710625,7.707265,2545600
2010-04-15,7.702500,7.842500,7.695625,7.813750,7.810346,1907200
2010-04-16,7.731250,7.806875,7.390625,7.535625,7.532341,5395200
2010-04-19,7.465000,7.592500,7.250000,7.523750,7.520472,4697600
2010-04-20,7.640625,7.687500,7.497500,7.635000,7.631674,2337600
2010-04-21,7.790000,7.835625,7.625000,7.769375,7.765990,3499200
2010-04-22,7.542500,7.910625,7.413750,7.884375,7.880939,5118400
2010-04-23,7.891875,8.013750,7.798750,7.988750,7.985269,3432000
2010-04-26,7.994375,8.054375,7.890625,7.929375,7.925920,3355200
2010-04-27,7.852500,7.936250,7.375000,7.440000,7.436759,5572800
2010-04-28,7.554375,7.561875,7.276875,7.457500,7.454251,5211200
2010-04-29,7.561250,7.875625,7.560625,7.838125,7.834710,3531200
2010-04-30,7.826250,7.863125,7.356875,7.376250,7.373036,3688000
2010-05-03,7.462500,7.788750,7.460625,7.677500,7.674155,2192000
2010-05-04,7.386875,7.387500,6.831875,6.998750,6.995701,5718400
2010-05-05,6.779375,7.006875,6.650000,6.883750,6.880750,5771200
2010-05-06,6.741875,6.936250,4.250000,6.209375,6.206670,9075200
2010-05-07,6.045000,6.270625,5.356875,5.757500,5.754992,10344000
2010-05-10,6.484375,6.635625,6.448750,6.616250,6.613367,7886400
2010-05-11,6.429375,6.875000,6.391875,6.611875,6.608994,6126400
2010-05-12,6.702500,6.982500,6.677500,6.968125,6.965089,4523200
2010-05-13,6.901250,7.046250,6.611250,6.653125,6.650226,4398400
2010-05-14,6.490000,6.498750,6.031250,6.243750,6.241029,6424000
2010-05-17,6.304375,6.398125,5.925000,6.328125,6.325368,5702400
2010-05-18,6.482500,6.518750,5.975000,6.086250,6.083598,7942400
2010-05-19,5.981250,6.125000,5.714375,5.925625,5.923043,9907200
2010-05-20,5.566875,5.606875,5.215625,5.326250,5.323930,11374400
2010-05-21,5.001875,5.533125,4.948750,5.367500,5.365161,9763200
2010-05-24,5.396875,5.596875,5.349375,5.411875,5.409517,6459200
2010-05-25,5.010000,5.390625,4.850000,5.373750,5.371409,7193600
2010-05-26,5.456875,5.681250,5.167500,5.207500,5.205231,8680000
2010-05-27,5.554375,5.785625,5.509375,5.771250,5.768735,7217600
2010-05-28,5.809375,5.825625,5.531250,5.690625,5.688146,6945600
2010-06-01,5.630625,5.921250,5.500000,5.533125,5.530714,8446400
2010-06-02,5.625000,5.922500,5.505000,5.922500,5.919919,4726400
2010-06-03,5.966250,6.110000,5.853750,6.076250,6.073603,4785600
2010-06-04,5.695000,5.921875,5.396250,5.476250,5.473864,10248000
2010-06-07,5.529375,5.590000,5.150000,5.158750,5.156502,7030400
2010-06-08,5.195625,5.230000,4.925625,5.130000,5.127765,11080000
2010-06-09,5.233750,5.380625,4.959375,5.016875,5.014689,9560000
2010-06-10,5.191875,5.443750,5.149375,5.433125,5.430758,6480000
2010-06-11,5.264375,5.596875,5.264375,5.575000,5.572571,5222400
2010-06-14,5.740625,5.850625,5.555625,5.578125,5.575695,9475200
2010-06-15,5.670625,6.050625,5.653750,5.985625,5.983016,8337600
2010-06-16,5.980625,6.187500,5.951250,6.106250,6.103589,6598400
2010-06-17,6.201875,6.211250,6.008750,6.167500,6.164813,6793600
2010-06-18,6.199375,6.308750,6.122500,6.184375,6.181680,5816000
2010-06-21,6.410000,6.437500,5.920000,6.021875,6.019251,9163200
2010-06-22,6.091250,6.223750,5.848750,5.879375,5.876813,7483200
2010-06-23,5.901250,5.961875,5.668750,5.800625,5.798098,9363200
2010-06-24,5.731250,5.781250,5.487500,5.519375,5.516970,9976000
2010-06-25,5.591250,5.653750,5.398125,5.515625,5.513222,7398400
2010-06-28,5.520000,5.602500,5.347500,5.466250,5.463868,6840000
2010-06-29,5.209375,5.218750,4.712500,4.856250,4.854134,18259200
2010-06-30,4.783750,4.920625,4.578125,4.616250,4.614239,7652800
2010-07-01,4.641875,4.680625,4.303750,4.571250,4.569259,10513600
2010-07-02,4.583125,4.636250,4.406250,4.546250,4.544269,6140800
2010-07-06,4.720000,4.806875,4.455000,4.570000,4.568009,6523200
2010-07-07,4.609375,5.015625,4.598125,5.001875,4.999695,6699200
2010-07-08,5.121875,5.141875,4.910000,5.086250,5.084034,8640000
2010-07-09,5.073125,5.250000,5.046250,5.228750,5.226472,5944000
2010-07-12,5.209375,5.366875,5.177500,5.288125,5.285821,4121600
2010-07-13,5.411875,5.538750,5.295000,5.468750,5.466367,7256000
2010-07-14,5.515625,5.649375,5.444375,5.556250,5.553829,4563200
2010-07-15,5.533125,5.624375,5.353125,5.575625,5.573195,4758400
2010-07-16,5.526875,5.533750,5.102500,5.126875,5.124641,7556800
2010-07-19,5.156250,5.275000,5.031875,5.242500,5.240216,5176000
2010-07-20,4.982500,5.430000,4.942500,5.408125,5.405768,5331200
2010-07-21,5.612500,5.612500,5.183750,5.218750,5.216476,7187200
2010-07-22,5.422500,5.678125,5.422500,5.570625,5.568197,5268800
2010-07-23,5.492500,5.722500,5.461875,5.715625,5.713135,5785600
